Date,State,Station,Station No.,Min Temp(°C),Max Temp(°C),Rain(mm),Max Wind Dir,Max Wind Spd(km/h)
29/9/19,ACT,Canberra Airport ,70351,2.2,20.2,0,N,48
30/9/19,ACT,Canberra Airport ,70351,3.6,19.7,0,E,43
1/10/19,ACT,Canberra Airport ,70351,5.6,21.1,0,NNW,31
2/10/19,ACT,Canberra Airport ,70351,1.8,24.7,0,NNW,43
3/10/19,ACT,Canberra Airport ,70351,4.2,28,0,NNW,39
4/10/19,ACT,Canberra Airport ,70351,5.7,28.1,0,WNW,44
5/10/19,ACT,Canberra Airport ,70351,12.1,19.2,4,ENE,33
6/10/19,ACT,Canberra Airport ,70351,11.4,30.4,0,N,61
7/10/19,ACT,Canberra Airport ,70351,8.6,23.7,0,NW,54
8/10/19,ACT,Canberra Airport ,70351,8.4,18.7,0,W,54
9/10/19,ACT,Canberra Airport ,70351,1.7,16.3,11.2,S,39
10/10/19,ACT,Canberra Airport ,70351,1,19.2,0,E,43
11/10/19,ACT,Canberra Airport ,70351,8.5,17.1,0,ESE,41
12/10/19,ACT,Canberra Airport ,70351,6.6,15.9,0,ESE,30
13/10/19,ACT,Canberra Airport ,70351,1.8,19.8,0,N,28
14/10/19,ACT,Canberra Airport ,70351,4.3,22.7,0,SSW,33
15/10/19,ACT,Canberra Airport ,70351,6.6,28,0,NW,56
16/10/19,ACT,Canberra Airport ,70351,7.8,24.8,0,NNW,67
17/10/19,ACT,Canberra Airport ,70351,9.5,16.1,4.8,WNW,69
18/10/19,ACT,Canberra Airport ,70351,5.8,21,0,NNW,52
19/10/19,ACT,Canberra Airport ,70351,8.8,19.2,0,NW,78
20/10/19,ACT,Canberra Airport ,70351,-0.2,20.9,0,N,30
21/10/19,ACT,Canberra Airport ,70351,3.1,26.7,0,ENE,33
22/10/19,ACT,Canberra Airport ,70351,5.8,28.5,0,E,41
23/10/19,ACT,Canberra Airport ,70351,5.8,29.2,0,SW,80
24/10/19,ACT,Canberra Airport ,70351,6.8,31.2,0,W,39
25/10/19,ACT,Canberra Airport ,70351,9.1,31.1,0,NNW,91
26/10/19,ACT,Canberra Airport ,70351,12.3,18.2,7.6,NW,78
27/10/19,ACT,Canberra Airport ,70351,4.6,20.5,0,NNW,43
28/10/19,ACT,Canberra Airport ,70351,3.7,22.9,0,W,39
29/10/19,ACT,Canberra Airport ,70351,5.6,27.4,0,NNW,50
30/10/19,ACT,Canberra Airport ,70351,8.8,29.3,0,W,28
31/10/19,ACT,Canberra Airport ,70351,7,31.7,0,NE,41
1/11/19,ACT,Canberra Airport ,70351,10.4,32.5,0,NNW,39
2/11/19,ACT,Canberra Airport ,70351,13.9,31.3,0,N,63
3/11/19,ACT,Canberra Airport ,70351,15.8,25.8,0,NNW,57
4/11/19,ACT,Canberra Airport ,70351,11.5,22.6,12.4,WNW,56
5/11/19,ACT,Canberra Airport ,70351,8.6,19,0.2,S,35
6/11/19,ACT,Canberra Airport ,70351,7.2,23.7,0,NW,70
7/11/19,ACT,Canberra Airport ,70351,11.3,19.4,0,WNW,70
8/11/19,ACT,Canberra Airport ,70351,12.7,18.8,0,NW,72
9/11/19,ACT,Canberra Airport ,70351,1.6,16.7,0,WNW,56
10/11/19,ACT,Canberra Airport ,70351,8.4,20.4,0,NNW,54
11/11/19,ACT,Canberra Airport ,70351,3.7,26.4,0,NW,50
12/11/19,ACT,Canberra Airport ,70351,5.8,26.6,0,NW,67
13/11/19,ACT,Canberra Airport ,70351,6.7,20.8,0,WNW,50
14/11/19,ACT,Canberra Airport ,70351,7.1,24.7,0,NW,52
15/11/19,ACT,Canberra Airport ,70351,11.8,25.7,0,NW,61
16/11/19,ACT,Canberra Airport ,70351,8.4,25.7,0,NW,50
17/11/19,ACT,Canberra Airport ,70351,9.6,25.1,0,E,52
18/11/19,ACT,Canberra Airport ,70351,6.8,27,0,NNW,59
19/11/19,ACT,Canberra Airport ,70351,8.4,32.5,0,WNW,57
20/11/19,ACT,Canberra Airport ,70351,8.4,31.4,0,ENE,33
21/11/19,ACT,Canberra Airport ,70351,10.9,39,0,NNW,54
22/11/19,ACT,Canberra Airport ,70351,16.9,34.9,0,NW,52
23/11/19,ACT,Canberra Airport ,70351,12.9,33.1,0,NNW,54
24/11/19,ACT,Canberra Airport ,70351,8.1,28.6,0,NNE,39
25/11/19,ACT,Canberra Airport ,70351,10.7,31.5,0,NW,52
26/11/19,ACT,Canberra Airport ,70351,15.4,27.3,0,NW,89
27/11/19,ACT,Canberra Airport ,70351,1.6,27.1,0,NW,43
28/11/19,ACT,Canberra Airport ,70351,5.6,30.3,0,N,46
29/11/19,ACT,Canberra Airport ,70351,12.6,33.1,0,N,65
30/11/19,ACT,Canberra Airport ,70351,11.8,23.8,0,NW,69
1/12/19,ACT,Canberra Airport ,70351,4.6,21.5,0,NW,63
2/12/19,ACT,Canberra Airport ,70351,7.4,15.1,0.6,WNW,57
3/12/19,ACT,Canberra Airport ,70351,8.5,20.8,0.6,W,61
4/12/19,ACT,Canberra Airport ,70351,12.6,24.1,0,WNW,57
5/12/19,ACT,Canberra Airport ,70351,11.2,28.2,0,WNW,63
6/12/19,ACT,Canberra Airport ,70351,15.7,28,0,WNW,50
7/12/19,ACT,Canberra Airport ,70351,11.1,29.7,0,WSW,52
8/12/19,ACT,Canberra Airport ,70351,11.1,29.9,0,ENE,43
9/12/19,ACT,Canberra Airport ,70351,14.9,34.9,0,NW,46
10/12/19,ACT,Canberra Airport ,70351,12.2,38.1,0,NW,59
11/12/19,ACT,Canberra Airport ,70351,11.3,32.7,0,NNW,44
12/12/19,ACT,Canberra Airport ,70351,12.8,30.5,0,ENE,57
13/12/19,ACT,Canberra Airport ,70351,12.8,27.8,0,E,48
14/12/19,ACT,Canberra Airport ,70351,9.2,29.6,0,W,48
15/12/19,ACT,Canberra Airport ,70351,12.9,29,0,W,54
16/12/19,ACT,Canberra Airport ,70351,10.6,32,0,E,48
17/12/19,ACT,Canberra Airport ,70351,12.1,32.5,0,E,48
18/12/19,ACT,Canberra Airport ,70351,12.2,36.8,0,NW,43
19/12/19,ACT,Canberra Airport ,70351,15.8,39.3,0,E,54
20/12/19,ACT,Canberra Airport ,70351,12.8,39,0,N,39
21/12/19,ACT,Canberra Airport ,70351,14.7,41.1,0,WNW,46
22/12/19,ACT,Canberra Airport ,70351,15.5,24.9,0,ENE,43
23/12/19,ACT,Canberra Airport ,70351,8.6,32.4,0,NE,31
24/12/19,ACT,Canberra Airport ,70351,15.3,28.8,0,NE,44
25/12/19,ACT,Canberra Airport ,70351,15.1,32.2,0,ENE,43
26/12/19,ACT,Canberra Airport ,70351,15.6,35,0,E,44
27/12/19,ACT,Canberra Airport ,70351,15.3,36.8,0,E,43
28/12/19,ACT,Canberra Airport ,70351,17.1,37.7,0,NW,52
29/12/19,ACT,Canberra Airport ,70351,19.6,36.1,0,WNW,33
30/12/19,ACT,Canberra Airport ,70351,17.6,39.8,0,NW,56
31/12/19,ACT,Canberra Airport ,70351,19.8,38,0,NW,74
1/1/20,ACT,Canberra Airport ,70351,13.5,33.2,0.2,NW,37
2/1/20,ACT,Canberra Airport ,70351,10.7,33.2,0,E,41
3/1/20,ACT,Canberra Airport ,70351,15.6,37.8,0,NW,56
4/1/20,ACT,Canberra Airport ,70351,18.5,44,0,NNW,67
5/1/20,ACT,Canberra Airport ,70351,17.3,21.7,0,ESE,46
6/1/20,ACT,Canberra Airport ,70351,14.3,21.5,0,E,33
7/1/20,ACT,Canberra Airport ,70351,15,35,0.4,NW,46
8/1/20,ACT,Canberra Airport ,70351,16.3,34.9,0,NNW,52
9/1/20,ACT,Canberra Airport ,70351,15.7,26.1,0,ESE,43
10/1/20,ACT,Canberra Airport ,70351,17.8,39.4,0,NW,48
11/1/20,ACT,Canberra Airport ,70351,15.5,28.3,0.2,SW,61
12/1/20,ACT,Canberra Airport ,70351,14.4,22.1,0,E,41
13/1/20,ACT,Canberra Airport ,70351,9.7,26.9,0,ENE,39
14/1/20,ACT,Canberra Airport ,70351,12.7,32.1,0,E,48
15/1/20,ACT,Canberra Airport ,70351,15.3,33.2,0,NW,50
16/1/20,ACT,Canberra Airport ,70351,15.9,29.3,1,ESE,48
17/1/20,ACT,Canberra Airport ,70351,16.5,24.8,4,ESE,43
18/1/20,ACT,Canberra Airport ,70351,17.1,25.3,0,ESE,52
19/1/20,ACT,Canberra Airport ,70351,13.6,31.3,0,ESE,50
20/1/20,ACT,Canberra Airport ,70351,16,27.9,4.4,NNW,117
21/1/20,ACT,Canberra Airport ,70351,14,27.6,2.6,NW,44
22/1/20,ACT,Canberra Airport ,70351,11.8,34.3,0,NW,59
23/1/20,ACT,Canberra Airport ,70351,19.1,34.9,0,NNW,83
