,State-Station,Date,Max Temp,Rain
71,NSW-Sydney (Observatory Hill) ,2019-06,18.469999999999995,5.713333333333333
72,NSW-Sydney (Observatory Hill) ,2019-07,19.703225806451616,1.4000000000000001
73,NSW-Sydney (Observatory Hill) ,2019-08,19.474193548387092,2.3548387096774195
74,NSW-Sydney (Observatory Hill) ,2019-09,21.696666666666665,3.76
75,NSW-Sydney (Observatory Hill) ,2019-10,24.35483870967742,1.103225806451613
76,NSW-Sydney (Observatory Hill) ,2019-11,26.589999999999996,0.8733333333333332
77,NSW-Sydney (Observatory Hill) ,2019-12,26.838709677419356,0.051612903225806445
78,NSW-Sydney (Observatory Hill) ,2020-01,28.06451612903225,2.303225806451613
79,NSW-Sydney (Observatory Hill) ,2020-02,27.06206896551724,15.22758620689655
80,NSW-Sydney (Observatory Hill) ,2020-03,25.345161290322576,5.174193548387097
81,NSW-Sydney (Observatory Hill) ,2020-04,24.35,0.9199999999999999
82,NSW-Sydney (Observatory Hill) ,2020-05,20.19354838709678,3.8322580645161293
83,NSW-Sydney (Observatory Hill) ,2020-06,18.820833333333336,2.4916666666666667
84,NT-Alice Springs Airport ,2019-05,23.937931034482755,1.110344827586207
85,NT-Alice Springs Airport ,2019-06,20.026666666666667,0.020000000000000004
86,NT-Alice Springs Airport ,2019-07,22.89354838709677,0.0
87,NT-Alice Springs Airport ,2019-08,21.954838709677414,0.0
88,NT-Alice Springs Airport ,2019-09,28.337931034482754,0.5655172413793104
89,NT-Alice Springs Airport ,2019-10,34.686666666666675,0.0
90,NT-Alice Springs Airport ,2019-11,35.053333333333335,0.0
91,NT-Alice Springs Airport ,2019-12,40.84516129032258,0.04516129032258064
92,NT-Alice Springs Airport ,2020-01,38.038709677419355,1.0580645161290323
93,NT-Alice Springs Airport ,2020-02,36.8448275862069,0.14482758620689656
94,NT-Alice Springs Airport ,2020-03,33.31935483870967,1.432258064516129
95,NT-Alice Springs Airport ,2020-04,31.54,0.3
96,NT-Alice Springs Airport ,2020-05,22.42903225806452,0.0
97,NT-Alice Springs Airport ,2020-06,20.40740740740741,0.0
98,NT-Darwin Airport ,2019-05,32.28387096774194,1.006451612903226
